Verdict,Openness,ExteriorDataLayer,ContainingLevelInstance,ActorLabel,NativeClass,OwnRuntimeDataLayers,OutlinerChain,CentreX,CentreY,CentreZ,Guid,SoftPath
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_39,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,8150.1,4AC850B9-479D-B285-6ED0-298524C2778E,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1723780102
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_40,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,8150.1,AEDD4230-42E9-990B-CAE8-C3AE7F4AB98B,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1723782103
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_42,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,8396.2,559C09A6-47D8-28B7-1468-8D938CCA84FA,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1732394105
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_43,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,8396.2,50BD8383-4A4D-B238-48C0-CC956ADDA2DE,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1732397106
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_45,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,8602.7,A4D4B279-4334-5775-C34B-3E9B6B56F982,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1739305108
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_46,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,8602.7,E560E323-432D-9982-E0E6-85ACD7CD83F6,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1739308109
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_48,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,8803.3,8E424CA3-44B5-DCB3-D55B-4C9A941A6DE2,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1750276111
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_49,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,8803.3,E9A25181-4D13-E4E0-AB12-7FB23B9E7BD3,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1750278112
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_51,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,9001.3,89824C87-4629-C4E1-0CBA-7D87B9C47FFB,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1758584114
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_52,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,9001.3,FF1BECCB-4A73-AE2B-B981-A29E7332C0A6,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86128102_1758586115
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_79,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10186.3,-29229.8,9223.0,8E1663D9-47E4-7683-3D5B-2DA14361020E,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86168102_1903032995
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_DoorFrame_ColumnDecor_B_80,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10165.1,-29107.9,9223.0,2DBA7ED2-4577-F648-F8DB-E494462886C2,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB86168102_1903034996
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_JambKit_Column_Base_A7,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-8201.3,-26532.7,9843.2,FBBF8DD5-4224-964A-F6F2-ABB5CD95F29B,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB865F8202_1385107573
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_JambKit_Column_Base_A8,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-8072.9,-25846.8,9840.2,C9137E8B-4034-5158-3896-66AB55A88F88,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_9C6B0052BB865F8202_1392331574
Sealed,0.000,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_Trim_Small_B47,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10847.5,-27458.9,7700.4,A3AF38BA-443F-ED3E-A2F4-73A1D1F8F767,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED9111FB902_1258341361
ZeroBounds,,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_ColumnBase_Large_PartD,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10514.9,-29829.7,7300.0,94DBED3E-4996-86FB-30D1-9581E71A084F,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C1B302_1706675502
ZeroBounds,,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_ColumnBase_Large_PartD2,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-8446.1,-29326.4,7300.0,36AD98FB-4206-B321-A63E-82A536C37C41,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C1B302_1877977506
ZeroBounds,,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_ColumnBase_Large_PartE,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-9333.2,-30038.1,7300.0,03F9B149-4D69-5882-39FD-2F8F7CE0F793,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C1B302_1804101503
ZeroBounds,,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_ColumnBase_Large_PartF,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-10514.9,-29829.7,7300.0,1BA1EE24-4FAA-E919-135E-D380DA345C23,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C3B302_1377323859
ZeroBounds,,DL_HW_EXT,LI_EntranceHall_EXT,SM_HW_EH_ColumnBase_Large_PartG,StaticMeshActor,DL_OVERLAND,> LI_Hogwarts > LI_EntranceHall_EXT,-9333.2,-30038.1,7300.0,E92BBF85-4BF7-153B-F008-48B1933BFFC6,/Game/Levels/Overland/Hogwarts/EntranceHall/LI_EntranceHall_EXT.LI_EntranceHall_EXT:PersistentLevel.StaticMeshActor_UAID_50EBF67ED911C3B302_1423226860
