ExteriorDataLayer,ContainingLevelInstance,ActorLabel,NativeClass,Kind,OwnRuntimeDataLayers,OutlinerChain,CentreX,CentreY,CentreZ,Guid,SoftPath
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1057,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9109.9,-67677.2,3177.7,226169F9-477C-988F-3C09-329F8AC822FF,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1121622632
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1058,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9875.9,-69886.8,3561.6,5F7B0DDC-4669-96E0-262D-39A187D9F832,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1233917889
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1059,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9123.0,-67972.8,3197.6,04BDCD68-4F13-CF46-1122-39AFE8658D02,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497495639
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1060,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9166.1,-68106.0,3212.4,953820B9-469B-22DF-947C-C796E16688E1,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497500644
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1061,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9209.3,-68241.5,3230.0,C5CD54C9-4B2B-5579-2F07-78A27712F9F9,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497504649
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1062,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9259.9,-68373.8,3252.3,5F14D261-434A-E2FB-99DC-73988B6815F3,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497509654
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1063,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9312.0,-68504.7,3275.2,1EDF47F0-4112-9121-1354-8B93627DBA7D,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497513659
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1064,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9360.5,-68638.3,3301.8,1702807D-4967-2912-6647-B4BF9823856A,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497518664
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1065,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9407.6,-68769.9,3328.3,68F6185E-4A01-EB92-B15D-0C8AFECA5283,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497522669
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1066,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9455.8,-68900.1,3356.7,ACEB3C94-4E05-5130-F63B-9CABBC78B2D1,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497526674
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1067,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9509.2,-69030.8,3380.2,484B6336-473D-AF42-A331-D794FC05FBB6,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497531679
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1068,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9562.6,-69159.4,3408.0,06C22C71-4B92-C8B1-B2C9-0FA0D6ADFBAB,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497536684
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1069,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9611.7,-69289.7,3435.5,A185103C-4C4F-9682-3415-78B3426B42CF,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497540689
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1070,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9651.3,-69425.4,3468.0,C707C56E-4B24-11D1-F0A5-91B1A46028EE,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497544694
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1071,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9688.5,-69560.5,3497.0,BDAAFE6E-408C-80FF-AC34-A58398B07E10,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497549699
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1072,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9735.0,-69693.4,3522.6,D26F2125-4E88-BBC9-CE5E-6EBABA41959C,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497553704
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1073,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9791.1,-69823.9,3543.1,A3357DFA-409E-097C-FB4E-279C65EDF656,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7438FD02_1497557709
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1074,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10010.4,-69842.1,3563.0,7BA0037C-420E-38BA-2169-97928EA8DBB0,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1233923894
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1075,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10146.0,-69798.0,3564.6,D10F91CA-42F1-0812-1D6C-FC89A247D9EB,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1233928899
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1076,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10309.3,-69747.4,3563.9,B8CFCDC7-4577-C7DB-8AF0-6ABF31E86B99,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1533828905
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1078,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9330.8,-67537.8,3182.8,144BD4D6-48EB-D479-5E4B-D19A5C320B28,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1627253913
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1079,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9196.5,-67588.7,3184.2,6DFAB1A0-48B0-D327-F803-EEB381F48FB0,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1627258918
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1080,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9059.1,-67627.8,3184.1,D293E5A2-4116-1928-BE7C-74928FF912D3,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F7439FD02_1627262923
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1081,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9581.2,-67806.1,3199.9,7674E3EA-4950-B053-EC2E-14A2F5C0E0EF,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713569280
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1082,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9629.5,-67938.7,3213.7,1AC7E78E-45F2-F5C4-D028-2C82489BFF4D,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713575285
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1083,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9682.4,-68071.3,3229.6,5BC83924-4F44-61EE-B47B-DA8B5654E691,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713579290
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1084,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9734.8,-68203.2,3251.6,062EDF5A-42D8-8F97-B1C4-9EB8B8FC3128,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713584295
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1085,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9783.3,-68334.0,3274.9,9DC09B64-4DD2-9374-9CCB-F295FAC26631,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713588300
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1086,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9826.4,-68469.0,3302.4,4AE77400-42B8-BC1C-990C-C5BBE01976A2,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713593305
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1087,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9874.1,-68602.6,3329.3,1D43EA58-4B9F-5484-0A83-CD842A870E72,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713597310
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1088,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9934.3,-68728.4,3357.5,2C99BEA5-4001-E5ED-A8B2-6C9D866F85DD,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713602315
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1089,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",9992.8,-68855.9,3382.7,12624389-48F0-40DD-A119-3B88F75B89A6,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713606320
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1090,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10047.3,-68985.4,3411.9,0975945B-4517-7425-CB17-6EB5CAF03FF6,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713610325
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1091,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10099.2,-69115.9,3440.1,04F8EA84-4418-4C7C-145A-8A95A6005BF5,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713615330
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1092,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10145.8,-69252.0,3469.6,5D8348DD-40CB-F509-2F34-4099274C3B01,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713618334
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1093,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10187.4,-69386.9,3498.1,B5B0EDCD-4F87-C160-65F9-DCA3E379363E,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713623339
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1094,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10230.3,-69526.7,3524.2,F11440D4-4E5B-8D35-74EA-9099A9236FA6,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713627344
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1095,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10277.2,-69669.3,3547.5,6D8BE626-41E5-A497-6EEC-43A69D0C7775,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713631349
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1096,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10314.2,-69672.9,3548.8,CDD03311-45DB-E159-6A1E-A5BF187B82E8,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713653353
DL_HM_EXT,LI_HM_Streets_EXT,SM_CobbleStreet_Block_A1097,StaticMeshActor,OV on actor, EXT inherited,DL_OVERLAND," > LI_Hogsmeade > LI_HM_Streets_EXT",10267.0,-69538.8,3528.2,472888A4-42E9-F7A1-427D-AD9A7DE83C1D,/Game/Levels/Overland/Hogsmeade/Streets/LI_HM_Streets_EXT.LI_HM_Streets_EXT:PersistentLevel.StaticMeshActor_UAID_905A08312F743BFD02_1713658358
